Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-05-12 08:04:00,false,"Cape Town Running","11.60","878","2:03:20","135","170","0.0","144","248","10:38","4:31","967","967","0.54","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-10 18:17:57,false,"Cape Town Running","6.32","346","31:56","148","169","0.0","170","180","5:03","4:30","75","75","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-09 17:43:25,false,"Cape Town Running","7.09","317","31:02","144","163","0.0","169","188","4:23","3:34","38","38","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-05 08:09:50,false,"Caledon Running","5.87","258","30:01","134","154","0.0","170","180","5:07","4:22","32","34","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-04 08:30:06,false,"Caledon Running","6.20","240","30:45","130","143","0.0","172","182","4:58","4:18","56","58","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-03 08:25:43,false,"Caledon Running","10.11","468","51:03","146","173","0.0","170","178","5:03","4:32","92","94","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-02 08:31:20,false,"Caledon Running","9.17","469","44:26","159","184","0.0","172","180","4:51","4:09","62","64","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-05-01 16:59:55,false,"Caledon Running","7.02","317","33:45","149","173","0.0","166","176","4:48","3:31","68","68","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-29 09:10:55,false,"Swellendam Running","10.57","737","1:33:05","140","180","0.0","148","248","8:49","4:45","492","464","0.76","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-28 08:58:00,false,"Swellendam Running","20.16","1,369","1:56:48","173","206","0.0","162","178","5:48","0:29","766","769","1.06","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-27 15:48:44,false,"Swellendam Running","6.45","452","42:02","159","190","0.0","158","172","6:31","4:23","209","208","0.98","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-26 18:06:33,false,"Rondebosch Running","7.26","353","35:08","149","160","0.0","168","176","4:50","3:47","49","51","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-24 05:24:51,false,"Newlands Running","13.11","871","1:13:37","170","211","0.0","164","180","5:37","3:56","511","512","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-22 08:12:56,false,"Rondebosch Running","16.16","784","1:25:00","154","176","0.0","168","184","5:16","2:43","386","385","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
